42.9409,-313.082
42.8677,-313.635
42.8217,-314.156
42.7401,-314.687
42.6588,-315.207
42.5684,-315.738
42.4871,-316.258
42.3704,-316.778
42.333,-317.31
42.2514,-317.841
42.2145,-318.351
42.2032,-318.906
42.1399,-319.404
42.0935,-319.947
42.0196,-320.534
41.9118,-321.053
41.8647,-321.63
41.7838,-322.127
41.6941,-322.625
41.6213,-323.156
41.5484,-323.699
41.4673,-324.208
41.3864,-324.706
41.2692,-325.247
41.2665,-325.813
41.407,-326.294
41.8605,-326.591
42.3526,-326.735
42.8637,-326.812
43.3748,-326.889
43.9069,-326.8
44.4654,-326.722
44.9538,-326.61
45.4015,-326.331
45.6317,-325.88
45.7214,-325.383
45.7325,-324.839
45.7966,-324.296
45.8344,-323.742
45.89,-323.188
45.9625,-322.668
46.018,-322.114
46.1174,-321.572
46.1995,-321.019
46.2278,-320.498
46.2919,-319.955
46.3739,-319.402
46.349,-318.89
46.0661,-318.463
45.666,-318.144
45.1696,-318.211
44.6798,-318.39
44.1127,-318.456
43.6017,-318.379
43.113,-318.07
42.7945,-317.652
42.6823,-317.084
42.3647,-316.622
42.2786,-316.077
42.3167,-315.511
42.239,-314.988
42.2585,-314.467
42.3045,-313.946
42.3679,-313.436
42.3881,-312.882
42.496,-312.362
42.542,-311.842
42.5968,-311.321
42.67,-310.767
42.7067,-310.269
42.7803,-309.693
42.8614,-309.184
42.9518,-308.653
43.0422,-308.122
43.0803,-307.557
43.1705,-307.037
43.2606,-306.517
43.3424,-305.975
43.4328,-305.444
43.4886,-304.879
43.6241,-304.304
43.7507,-303.73
43.8416,-303.176
43.8796,-302.611
43.961,-302.091
44.0695,-301.538
44.1078,-300.962
44.19,-300.397
